point|aeroway|airport|0x59|0x00|22
point|amenity|atm|0x2f|0x06|24
point|amenity|bank|0x2f|0x06|24
point|amenity|bank;atm|0x2f|0x06|24
point|amenity|biergarten|0x2d|0x02|24
point|amenity|bus_station|0x2f|0x08|24
point|amenity|car_wash|0x2f|0x0e|24
point|amenity|cinema|0x2d|0x03|24
point|amenity|college|0x2c|0x05|24
point|amenity|courthouse|0x30|0x04|24
point|amenity|drinking_water|0x50|0x00|24
point|amenity|fast_food|0x2a|0x07|24
point|amenity|fire_station|0x30|0x08|24
point|amenity|fuel|0x2f|0x01|24
point|amenity|grave_yard|0x64|0x03|24
point|amenity|hospital|0x30|0x02|24
point|amenity|library|0x2c|0x03|24
point|amenity|parking|0x2f|0x0b|24
point|amenity|bicycle_parking|0x2f|0x0b|24
point|amenity|pharmacy|0x2e|0x05|24
point|amenity|place_of_worship|0x2c|0x0b|24
point|amenity|police|0x30|0x01|24
point|amenity|post_office|0x2f|0x05|24
point|amenity|post_box|0x2f|0x05|24
point|amenity|pub|0x46|0x00|24
point|amenity|public_building|0x30|0x03|24
point|amenity|restaurant|0x2a|0x00|24
point|amenity|school|0x2c|0x05|24
point|amenity|shelter|0x61|0x00|24
point|amenity|supermarket|0x2e|0x02|24
point|amenity|telephone|0x51|0x00|24
point|amenity|theatre|0x2d|0x01|24
point|amenity|toilets|0x4e|0x00|24
point|amenity|townhall|0x30|0x03|24
point|amenity|university|0x2c|0x05|24
point|amenity|zoo|0x2c|0x07|24
point|highway|bus_stop|0x2f|0x08|24
point|historic|museum|0x2c|0x02|24
point|historic|ruins|0x64|0x16|24
point|historic|castle|0x64|0x02|24
point|historic|memorial|0x2c|0x02|24
point|leisure|golf_course|0x2d|0x05|24
point|leisure|marina|0x43|0x00|24
point|leisure|park|0x2c|0x06|24
point|leisure|pitch|0x2c|0x08|24
point|leisure|sports_centre|0x2d|0x0a|24
point|leisure|stadium|0x2c|0x08|24
point|leisure|track|0x2c|0x08|24
point|man_made|tower|0x64|0x11|24
point|man_made|power_wind|0x64|0x00|24
point|man_made|reservoir_covered|0x65|0x0f|24
point|man_made|reservoir|0x65|0x0f|24
point|power|tower|0x64|0x00|24
point|natural|beach|0x66|0x04|20
point|natural|cliff|0x66|0x07|20
point|natural|peak|0x66|0x16|20
point|natural|spring|0x65|0x11|24
point|place|city|0x04||10
point|place|hamlet|0x11||24
point|place|suburb|0x0a||24
point|place|town|0x08||18
point|place|village|0x0b||20
point|railway|halt|0x2f|0x08|22
point|railway|station|0x2f|0x08|22
point|railway|tram_stop|0x2f|0x08|24
point|shop|bakers|0x2e|0x00|24
point|shop|bakery|0x2e|0x00|24
point|shop|butchers|0x2e|0x00|24
point|shop|butcher|0x2e|0x00|24
point|shop|convenience|0x2e|0x00|24
point|shop|doityourself|0x2e|0x00|24
point|shop|kiosk|0x2e|0x00|24
point|shop|outdoor|0x2e|0x00|24
point|shop|bicycle|0x2e|0x00|24
point|shop|supermarket|0x2e|0x00|24
point|tourism|attraction|0x64|0x02|24
point|tourism|camp_site|0x2b|0x03|24
point|tourism|caravan_site|0x2b|0x03|24
point|tourism|hotel|0x2b|0x01|24
point|tourism|information|0x4c|0x00|24
point|tourism|motel|0x2b|0x01|24
point|tourism|picnic_site|0x4a|0x00|24
point|tourism|theme_park|0x2c|0x01|24
point|tourism|zoo|0x2c|0x07|24
polygon|amenity|grave_yard|0x1a||22
polygon|amenity|hospital|0x0b||22
polygon|amenity|parking|0x05||22
polygon|amenity|bicycle_parking|0x05||22
polygon|amenity|prison|0x04||22
polygon|amenity|public_building|0x0a||22
polygon|amenity|supermarket|0x08||22
polygon|amenity|university|0x0a||22
polygon|amenity|school|0x0a||22
polygon|shop|supermarket|0x08||22
polygon|aeroway|apron|0x0e||20
polygon|aeroway|terminal|0x13||20
polygon|building|commercial|0x13||22
polygon|building|church|0x13||22
polygon|building|cathedral|0x13||22
polygon|building|railroad_station|0x13||22
polygon|building|university|0x13||22
polygon|building|tower|0x13||22
polygon|building|tramdepot|0x13||22
polygon|building|sport|0x19||22
polygon|building|yes|0x13||22
polygon|landuse|allotments|0x4e||22
polygon|landuse|cemetary|0x1a||22
polygon|landuse|cemetery|0x1a||22
polygon|landuse|commercial|0x0c||22
polygon|landuse|forest|0x50||20
polygon|landuse|industrial|0x0c||22
polygon|landuse|reservoir|0x3f||22
polygon|landuse|residential|0x01||22
polygon|landuse|runway|0x0e||20
polygon|leisure|common|0x0d||24
polygon|leisure|garden|0x4e||22
polygon|leisure|golf_course|0x18||22
polygon|leisure|marina|0x09||22
polygon|leisure|nature_reserve|0x16||20
polygon|leisure|park|0x17||22
polygon|leisure|pitch|0x19||22
polygon|leisure|sports_center|0x19||22
polygon|leisure|sports_centre|0x19||22
polygon|leisure|stadium|0x19||22
polygon|leisure|track|0x19||22
polygon|leisure|water_park|0x09||22
polygon|military|airfield|0x04||22
polygon|military|barracks|0x04||22
polygon|military|danger_area|0x04||22
polygon|military|range|0x04||22
polygon|natural|lake|0x3c||14
polygon|natural|marsh|0x51||22
polygon|natural|mud|0x51||22
polygon|natural|scrub|0x4f||22
polygon|natural|scree|0x4f||22
polygon|natural|water|0x3c||14
polygon|natural|wood|0x50||20
polygon|sport|pitch|0x19||22
polygon|sport|tennis|0x19||22
polygon|sport|soccer|0x19||22
polygon|sport|football|0x19||22
polygon|sport|horse_racing|0x19||22
polygon|sport|golf|0x18||22
polygon|sport|model_aerodrome|0x0e||22
polygon|tourism|zoo|0x17||22
polygon|waterway|riverbank|0x3c||14
polygon|man-made|wastewater_plant|0x3c||22
polygon|man-made|pool|0x3c||22
polyline|aeroway|runway|0x27||18
polyline|aeroway|taxiway|0x07||22
polyline|aerialway|cable_car|0x14||24
polyline|aerialway|chair_lift|0x14||24
polyline|aerialway|drag_lift|0x14||24
polyline|boundary|administrative|0x1d||20
polyline|boundary|national|0x1e||10
polyline|boundary|political|0x1c||10
polyline|highway|bridleway|0x16||24
polyline|highway|byway|0x16||24
polyline|highway|cycleway|0x16||24
polyline|highway|footway|0x16||24
polyline|highway|living_street|0x06||20
polyline|highway|minor|0x06||20
polyline|highway|motorway|0x01||10
polyline|highway|motorway_link|0x01||10
polyline|highway|pedestrian|0x06||24
polyline|highway|primary|0x03||18
polyline|highway|primary_link|0x03||18
polyline|highway|residential|0x06||22
polyline|highway|secondary|0x04||18
polyline|highway|service|0x07||22
polyline|highway|steps|0x16||24
polyline|highway|tertiary|0x05||18
polyline|highway|track|0x0a||22
polyline|highway|trunk|0x02||14
polyline|highway|trunk_link|0x02||14
polyline|highway|unclassified|0x06||22
polyline|highway|unsurfaced|0x0a||22
polyline|natural|coastline|0x15||10
polyline|power|line|0x29||24
polyline|railway|light_rail|0x14||22
polyline|railway|rail|0x14||20
polyline|railway|subway|0x14||24
polyline|railway|tram|0x14||24
polyline|railway|narrow_gauge|0x14||24
polyline|route|ferry|0x1a||20
polyline|waterway|canal|0x1f||22
polyline|waterway|drain|0x18||22
polyline|waterway|river|0x1f||10
polyline|waterway|stream|0x18||22

